City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
188,wajir,1.75,40.06,83.88,62,7,15.46,KE,1585690216
189,san patricio,19.22,-104.7,84.2,79,5,11.41,MX,1585690216
190,zatoka,46.07,30.47,35.6,47,70,8.95,UA,1585690216
191,maniwaki,46.38,-75.97,42.71,63,44,7.96,CA,1585690125
192,buala,-8.14,159.59,82.26,78,100,5.86,SB,1585690217
193,pangnirtung,66.15,-65.71,-11.2,47,5,14.99,CA,1585690217
194,sangre grande,10.58,-61.12,84.2,54,75,11.41,TT,1585690217
195,tarko-sale,64.92,77.78,9.0,82,100,7.25,RU,1585690217
196,bathsheba,13.22,-59.52,80.6,57,20,14.99,BB,1585690218
197,springbok,-29.66,17.89,46.72,62,0,4.5,ZA,1585690218
198,qaanaaq,77.48,-69.36,7.83,73,91,2.84,GL,1585690218
199,ormara,25.21,64.64,74.08,86,0,10.45,PK,1585689938
200,altay,47.87,88.12,28.74,48,0,8.66,CN,1585690219
201,dingle,11.0,122.67,77.07,83,94,7.11,PH,1585689984
202,san francisco del mar,16.23,-94.65,88.34,56,3,10.76,MX,1585690220
203,la rioja,42.25,-2.5,41.0,100,90,6.93,ES,1585690220
204,ola,59.58,151.28,9.86,92,57,6.58,RU,1585690220
205,presidencia roque saenz pena,-26.79,-60.44,84.24,64,100,7.38,AR,1585690221
206,talnakh,69.49,88.4,10.4,92,75,22.37,RU,1585690221
207,launceston,-41.45,147.17,55.99,87,90,4.7,AU,1585690222
208,thanh hoa,19.8,105.77,67.71,82,98,4.23,VN,1585690059
209,cabo san lucas,22.89,-109.91,86.0,41,40,10.29,MX,1585690059
210,faanui,-16.48,-151.75,82.45,77,0,11.14,PF,1585689928
211,yeniseysk,58.45,92.17,35.65,93,100,7.76,RU,1585690222
212,viedma,-40.81,-63.0,67.1,41,95,15.08,AR,1585689947
213,fortuna,40.6,-124.16,53.6,87,75,9.17,US,1585690131
214,lavrentiya,65.58,-171.0,15.76,93,0,7.27,RU,1585690223
215,carlyle,38.61,-89.37,60.01,54,75,10.29,US,1585690224
216,basna,21.28,82.82,82.94,24,11,3.49,IN,1585690224
217,hastiere,50.22,4.82,39.2,55,0,5.82,BE,1585690224
218,virginia beach,36.85,-75.98,48.99,93,90,9.17,US,1585689999
219,orangeburg,33.49,-80.86,59.0,87,90,9.17,US,1585690062
220,atasu,48.68,71.64,29.55,79,0,9.28,KZ,1585690225
221,champerico,14.3,-91.92,95.0,44,75,13.87,GT,1585690160
222,mersin,36.86,34.65,60.8,59,75,11.41,TR,1585690225
223,dunmore east,52.15,-6.99,46.99,76,32,1.99,IE,1585690225
224,chuy,-33.7,-53.46,69.28,72,84,14.67,UY,1585690226
225,northam,51.03,-4.22,46.0,83,7,5.82,GB,1585690226
226,prachin buri,14.05,101.37,81.41,69,1,3.87,TH,1585690226
227,clyde river,70.47,-68.59,1.4,77,90,20.8,CA,1585690182
228,ahome,25.92,-109.18,78.8,36,90,12.75,MX,1585689962
229,sorland,67.67,12.69,33.8,74,75,20.8,NO,1585690004
230,krasnovishersk,60.41,57.08,27.07,97,100,3.33,RU,1585690227
